time,follower
2022-07-29 21:11:56,959611
2022-07-29 21:16:57,959666
2022-07-29 21:21:57,959729
2022-07-29 21:27:11,959803
2022-07-29 21:32:08,959856
2022-07-29 21:37:02,959911
2022-07-29 21:41:51,959953
2022-07-29 21:47:01,959993
2022-07-29 21:52:06,960043
2022-07-29 21:57:33,960106
2022-07-29 22:02:34,960170
2022-07-29 22:07:40,960230
2022-07-29 22:12:30,960331
2022-07-29 22:18:00,960457
2022-07-29 22:23:11,960550
2022-07-29 22:28:16,960624
2022-07-29 22:33:45,960727
2022-07-29 22:39:08,960802
2022-07-29 22:44:55,960853
2022-07-29 22:50:11,960896
2022-07-29 22:55:12,960947
2022-07-29 23:00:41,961006
2022-07-29 23:05:58,961060
2022-07-29 23:11:58,961119
2022-07-29 23:22:56,961204
2022-07-29 23:34:06,961261
2022-07-29 23:45:11,961299
2022-07-30 00:01:39,961347
2022-07-30 00:18:10,961397
2022-07-30 00:34:36,961443
2022-07-30 00:52:36,961482
2022-07-30 01:10:43,961518
2022-07-30 01:29:12,961557
2022-07-30 01:57:03,961598
2022-07-30 02:26:09,961638
2022-07-30 03:02:31,961677
2022-07-30 04:07:15,961719
2022-07-30 05:49:13,961755
2022-07-30 07:11:13,961792
2022-07-30 08:05:42,961838
2022-07-30 08:36:47,961877
2022-07-30 08:59:55,961925
2022-07-30 09:30:04,961974
2022-07-30 09:51:16,962022
2022-07-30 10:10:52,962078
2022-07-30 10:23:24,962121
2022-07-30 10:36:07,962159
2022-07-30 10:55:10,962209
2022-07-30 11:07:55,962247
2022-07-30 11:21:41,962292
2022-07-30 11:33:52,962339
2022-07-30 11:48:31,962378
2022-07-30 12:06:17,962425
2022-07-30 12:23:21,962474
2022-07-30 12:34:29,962521
2022-07-30 12:45:57,962557
2022-07-30 13:02:45,962607
2022-07-30 13:13:45,962645
2022-07-30 13:30:01,962690
2022-07-30 13:41:05,962726
2022-07-30 13:57:41,962775
2022-07-30 14:14:53,962823
2022-07-30 14:32:36,962870
2022-07-30 14:44:56,962907
2022-07-30 15:04:47,962968
2022-07-30 15:24:34,963024
2022-07-30 15:37:36,963065
2022-07-30 15:50:06,963126
2022-07-30 16:02:45,963165
2022-07-30 16:21:08,963218
2022-07-30 16:32:25,963255
2022-07-30 16:44:22,963300
2022-07-30 16:56:23,963343
2022-07-30 17:14:06,963398
2022-07-30 17:25:52,963439
2022-07-30 17:49:51,963492
2022-07-30 18:01:41,963544
2022-07-30 18:20:02,963594
2022-07-30 18:31:49,963635
2022-07-30 18:47:15,963671
2022-07-30 19:02:26,963710
2022-07-30 19:12:44,963748
2022-07-30 19:22:57,963789
2022-07-30 19:33:00,963828
2022-07-30 19:43:04,963881
